Name,Model,Speed,Acceleration,Tackling,Defensive Engagement,Defensive Awareness,Aggression,Jumping,Physical Contact,Balance,Height,Shadow Hunt,Aerial Forte,Long Reach Tackle,Fortress,Position
Thuram(107),Destroyer,89,86,103,100,102,99,94,95,76,182,0,1,0,1,CB
Cannavaro(107),Destroyer,85,88,103,100,103,99,97,94,90,176,1,1,0,0,CB
Baresi(107),Build Up,83,82,103,103,104,99,96,95,77,176,0,1,0,1,CB
Saliba(105),Build Up,89,83,96,97,100,94,90,94,69,192,0,1,1,0,CB
van Dijk(106),Build Up,85,78,98,100,101,101,92,96,69,195,0,0,1,0,CB
Pepe(106),Destroyer,85,83,103,100,101,102,93,95,65,188,0,0,1,1,CB
Desailly(107),Destroyer,89,88,103,98,101,99,88,91,72,185,0,1,0,1,CB
Rio Ferdinand(106),Build Up,85,80,99,100,103,98,91,93,67,196,0,1,0,1,CB
Chiellini(105),Destroyer,83,76,102,102,104,99,90,94,60,187,0,1,1,0,CB
Varane(106),Build Up,87,81,99,100,101,93,95,93,67,191,0,1,1,0,CB
Puyol(106),Destroyer,84,81,100,102,104,102,94,94,76,178,0,0,1,1,CB
Stam(106),Build Up,86,80,101,100,101,98,88,96,59,191,0,1,0,1,CB
Pique(106),Build Up,80,76,98,100,102,93,92,93,71,194,0,1,1,0,CB
Beckenbauer(108),Build Up,86,84,100,100,98,94,94,95,79,181,0,0,1,0,CB
Nesta(107),Destroyer,86,83,102,102,103,97,95,94,70,187,0,1,1,0,CB
Koeman(105),Destroyer,83,78,95,98,98,96,91,92,73,182,0,0,0,1,CB
Ferri(106),Build Up,85,80,99,100,101,97,95,95,76,181,0,0,0,1,CB
Gabriel(106),Destroyer,84,78,103,98,99,102,95,93,63,190,0,1,1,0,CB
Tah(104),Build Up,82,71,97,97,100,98,94,98,62,195,0,1,0,0,CB
Konate(105),Destroyer,83,78,100,98,99,99,91,96,66,194,0,1,0,1,CB
Rafael Marquez(106),Build Up,84,87,100,100,100,100,91,92,73,184,0,0,0,1,CB
Ronald Araujo(105),Destroyer,90,82,100,98,98,98,92,93,66,191,0,1,1,0,CB
Micky van de Ven(104),Destroyer,89,85,99,96,97,99,85,91,60,193,0,0,1,0,FB
Willian Pacho(105),Destroyer,82,82,100,96,99,96,97,93,69,188,0,1,0,1,CB
Dean Huijsen(103),Build Up,82,76,95,97,100,93,82,88,62,195,0,0,0,0,CB
Thomas Vermaelen(105),Build Up,82,80,97,100,99,98,93,93,72,183,0,0,0,1,CB
Alessandro Nesta,,86,83,102,102,103,97,95,94,70,187,0,1,1,0,CB
Franz Beckenbauer,,86,84,101,100,99,95,93,94,79,181,0,0,1,0,CB
Jaap Stam,,86,80,101,100,101,98,88,96,59,191,0,1,0,1,CB
Leonardo Bonucci,,85,77,101,100,102,99,90,91,65,190,0,1,0,1,CB
Raphael Varane,,90,82,100,101,102,96,91,93,67,191,0,0,1,1,CB
Gabriel Magalhaes,,84,78,103,98,99,102,95,93,63,190,0,1,1,0,CB
Gerard Pique,,82,76,97,99,101,92,92,93,71,194,0,1,1,0,CB
Ronald Koeman,,84,81,97,99,99,98,95,93,73,182,0,0,1,1,CB
Vincent Kompany,,84,78,103,99,102,99,90,94,67,193,0,1,1,0,CB
